Review,Liked
Great food and great service in a clean and friendly setting.,Yes
"All in all, I can assure you I'll be back.",Yes
I hate those things as much as cheap quality black olives.,No
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",Yes
The kids play area is NASTY!,No
Great place fo take out or eat in.,Yes
The waitress was friendly and happy to accomodate for vegan/veggie options.,Yes
OMG I felt like I had never eaten Thai food until this dish.,Yes
"It was extremely ""crumby"" and pretty tasteless.",No
It was a pale color instead of nice and char and has NO flavor.,No
The croutons also taste homemade which is an extra plus.,Yes
I got home to see the driest damn wings ever!,No
It'll be a regular stop on my trips to Phoenix!,Yes
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,Yes
Not good for the money.,No
I miss it and wish they had one in Philadelphia!,Yes
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",No
They also have the best cheese crisp in town.,Yes
"Good value, great food, great service.",Yes
Couldn't ask for a more satisfying meal.,Yes
The food is good.,Yes
It was awesome.,Yes
I just wanted to leave.,No
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,Yes
I will not be eating there again.,No
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,No
I checked out this place a couple years ago and was not impressed.,No
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",No
"Sorry, I will not be getting food from here anytime soon :(",No
An absolute must visit!,Yes
The cow tongue and cheek tacos are amazing.,Yes
My friend did not like his Bloody Mary.,No
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",No
They really want to make your experience a good one.,Yes
I will not return.,No
I had the chicken Pho and it tasted very bland.,No
Very disappointing!!!,No
The grilled chicken was so tender and yellow from the saffron seasoning.,Yes
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",No
Pretty awesome place.,Yes
Ambience is perfect.,Yes
Best of luck to the rude and non-customer service focused new management.,No
Any grandmother can make a roasted chicken better than this one.,No
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,No
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",Yes
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,Yes
The roast beef sandwich tasted really good!,Yes
"Same evening, him and I are both drastically sick.",No
High-quality chicken on the chicken Caesar salad.,Yes
Ordered burger rare came in we'll done.,No
We were promptly greeted and seated.,Yes
Tried to go here for lunch and it was a madhouse.,No
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",Yes
"After waiting an hour and being seated, I was not in the greatest of moods.",No
This is a good joint.,Yes
The Macarons here are insanely good.,Yes
I'm not eating here!,No
"Our waiter was very attentive, friendly, and informative.",Yes
Maybe if they weren't cold they would have been somewhat edible.,No
This place has a lot of promise but fails to deliver.,No
Very bad Experience!,No
What a mistake.,No
Food was average at best.,No
Great food.,Yes
We won't be going back anytime soon!,No
Very Very Disappointed ordered the $35 Big Bay Plater.,No
Great place to relax and have an awesome burger and beer.,Yes
It is PERFECT for a sit-down family meal or get together with a few friends.,Yes
"Not much flavor to them, and very poorly constructed.",No
The patio seating was very comfortable.,Yes
The fried rice was dry as well.,No
Hands down my favorite Italian restaurant!,Yes
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",Yes
It was just not a fun experience.,Yes
The atmosphere was great with a lovely duo of violinists playing songs we requested.,Yes
"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",Yes
"Very convenient, since we were staying at the MGM!",Yes
The owners are super friendly and the staff is courteous.,Yes
Both great!,Yes
Eclectic selection.,Yes
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,Yes
The staff was very attentive.,Yes
And the chef was generous with his time (even came around twice so we can take pictures with him).,Yes
"The owner used to work at Nobu, so this place is really similar for half the price.",Yes
Google mediocre and I imagine Smashburger will pop up.,No
dont go here.,No
I promise they won't disappoint.,Yes
As a sushi lover avoid this place by all means.,No
What a great double cheeseburger!,Yes
Awesome service and food.,Yes
A fantastic neighborhood gem !!!,Yes
I can't wait to go back.,Yes
The plantains were the worst I've ever tasted.,No
It's a great place and I highly recommend it.,Yes
Service was slow and not attentive.,No
"I gave it 5 stars then, and I'm giving it 5 stars now.",Yes
Your staff spends more time talking to themselves than me.,No
Dessert: Panna Cotta was amazing.,Yes
"Very good food, great atmosphere.",Yes
Damn good steak.,Yes
Total brunch fail.,No
"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",Yes
"The decor is nice, and the piano music soundtrack is pleasant.",Yes
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,Yes
"Good food , good service .",Yes
It was absolutely amazing.,Yes
"I probably won't be back, to be honest.",No
will definitely be back!,Yes
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,Yes
"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",Yes
Went for lunch - service was slow.,No
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",No
I was mortified.,No
"Needless to say, we will never be back here again.",No
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",No
"The chips that came out were dripping with grease, and mostly not edible.",No
I wasn't really impressed with Strip Steak.,No
Have been going since 2007 and every meal has been awesome!!,Yes
Our server was very nice and attentive as were the other serving staff.,Yes
The cashier was friendly and even brought the food out to me.,Yes
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,No
The atmosphere here is fun.,Yes
Would not recommend to others.,No
"Service is quick and even ""to go"" orders are just like we like it!",Yes
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",No
"That said, our mouths and bellies were still quite pleased.",Yes
Not my thing.,No
2 Thumbs Up!!,Yes
If you are reading this please don't go there.,No
"I loved the grilled pizza, reminded me of legit Italian pizza.",Yes
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,Yes
They have a really nice atmosphere.,Yes
Tonight I had the Elk Filet special...and it sucked.,No
"After one bite, I was hooked.",Yes
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,No
"Cute, quaint, simple, honest.",Yes
The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,Yes
"The food was great as always, compliments to the chef.",Yes
Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,Yes
Awesome selection of beer.,Yes
Great food and awesome service!,Yes
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",Yes
A FLY was in my apple juice.. A FLY!!!!!!!!,No
The Han Nan Chicken was also very tasty.,Yes
"As for the service, I thought it was good.",Yes
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",No
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,No
Nicest Chinese restaurant I've been in a while.,Yes
"Overall, I like there food and the service.",Yes
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,Yes
"Probably never coming back, and wouldn't recommend it.",No
"Friend's pasta -- also bad, he barely touched it.",No
"Try them in the airport to experience some tasty food and speedy, friendly service.",Yes
I love the decor with the Chinese calligraphy wall paper.,Yes
Never had anything to complain about here.,Yes
The restaurant is very clean and has a family restaurant feel to it.,Yes
It was way over fried.,No
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,No
"When I opened the sandwich, I was impressed, but not in a good way.",No
Will not be back!,No
There was a warm feeling with the service and I felt like their guest for a special treat.,Yes
An extensive menu provides lots of options for breakfast.,Yes
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",Yes
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",No
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,Yes
"I got to enjoy the seafood salad, with a fabulous vinegrette.",Yes
"The wontons were thin, not thick and chewy, almost melt in your mouth.",Yes
"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",Yes
We were sat right on time and our server from the get go was FANTASTIC!,Yes
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",No
"When I'm on this side of town, this will definitely be a spot I'll hit up again!",Yes
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,No
This is a GREAT place to eat!,Yes
The jalapeno bacon is soooo good.,Yes
The service was poor and thats being nice.,No
"Food was good, service was good, Prices were good.",Yes
The place was not clean and the food oh so stale!,No
"The chicken dishes are OK, the beef is like shoe leather.",No
But the service was beyond bad.,No
"I'm so happy to be here!!!""",Yes
Tasted like dirt.,No
One of the few places in Phoenix that I would definately go back to again .,Yes
The block was amazing.,Yes
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",Yes
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,Yes
My sashimi was poor quality being soggy and tasteless.,No
Great time - family dinner on a Sunday night.,Yes
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",No
"What did bother me, was the slow service.",No
The flair bartenders are absolutely amazing!,Yes
Their frozen margaritas are WAY too sugary for my taste.,No
These were so good we ordered them twice.,Yes
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,No
My girlfriend's veal was very bad.,No
"Unfortunately, it was not good.",No
I had a pretty satifying experience.,Yes
Join the club and get awesome offers via email.,Yes
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",Yes
Bland and flavorless is a good way of describing the barely tepid meat.,No
"The chains, which I'm no fan of, beat this place easily.",No
The nachos are a MUST HAVE!,Yes
We will not be coming back.,No
"I don't have very many words to say about this place, but it does everything pretty well.",Yes
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",Yes
"Great atmosphere, friendly and fast service.",Yes
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,Yes
Once your food arrives it's meh.,No
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,No
The classic Maine Lobster Roll was fantastic.,Yes
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",No
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,Yes
"The chips and salsa were really good, the salsa was very fresh.",Yes
This place is great!!!!!!!!!!!!!!,Yes
Mediocre food.,No
Once you get inside you'll be impressed with the place.,Yes
I'm super pissd.,No
And service was super friendly.,Yes
Why are these sad little vegetables so overcooked?,No
This place was such a nice surprise!,Yes
They were golden-crispy and delicious.,Yes
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",No
I could eat their bruschetta all day it is devine.,Yes
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,No
"Lastly, the mozzarella sticks, they were the best thing we ordered.",Yes
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",Yes
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,No
The service was terrible though.,No
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",No
It was packed!!,No
I love this place.,Yes
I can say that the desserts were yummy.,Yes
The food was terrible.,No
The seasonal fruit was fresh white peach puree.,Yes
It kept getting worse and worse so now I'm officially done.,No
This place should honestly be blown up.,No
But I definitely would not eat here again.,No
Do not waste your money here!,No
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,Yes
The crepe was delicate and thin and moist.,Yes
Awful service.,No
Won't ever go here again.,No
Food quality has been horrible.,No
For that price I can think of a few place I would have much rather gone.,No
The service here is fair at best.,No
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",No
Do yourself a favor and stay away from this dish.,No
Very poor service.,No
No one at the table thought the food was above average or worth the wait that we had for it.,No
"Best service and food ever, Maria our server was so good and friendly she made our day.",Yes
They were excellent.,Yes
I paid the bill but did not tip because I felt the server did a terrible job.,No
Just had lunch here and had a great experience.,Yes
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,No
Food is way overpriced and portions are fucking small.,No
I recently tried Caballero's and I have been back every week since!,Yes
"for 40 bucks a head, i really expect better food.",No
The food came out at a good pace.,Yes
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",Yes
I won't be back.,No
We could not believe how dirty the oysters were!,No
This place deserves no stars.,No
I would not recommend this place.,No
"In fact I'm going to round up to 4 stars, just because she was so awesome.",Yes
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",No
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",No
the potatoes were great and so was the biscuit.,Yes
I probably would not go here again.,No
So flavorful and has just the perfect amount of heat.,Yes
The price is reasonable and the service is great.,Yes
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",No
My fella got the huevos rancheros and they didn't look too appealing.,No
"Went in for happy hour, great list of wines.",Yes
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,Yes
I probably won't be coming back here.,No
Worst food/service I've had in a while.,No
"This place is pretty good, nice little vibe in the restaurant.",Yes
Talk about great customer service of course we will be back.,Yes
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",No
I love their fries and their beans.,Yes
Always a pleasure dealing with him.,Yes
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",Yes
This place is awesome if you want something light and healthy during the summer.,Yes
"For sushi on the Strip, this is the place to go.",Yes
"The service was great, even the manager came and helped with our table.",Yes
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,No
"I started this review with two stars, but I'm editing it to give it only one.",No
this is the worst sushi i have ever eat besides Costco's.,No
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",Yes
My boyfriend and i sat at the bar and had a completely delightful experience.,Yes
Weird vibe from owners.,No
There was hardly any meat.,No
I've had better bagels from the grocery store.,No
Go To Place for Gyros.,Yes
"I love the owner/chef, his one authentic Japanese cool dude!",Yes
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",No
I found a six inch long piece of wire in my salsa.,No
"The service was terrible, food was mediocre.",No
We definately enjoyed ourselves.,Yes
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,No
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",No
I had about two bites and refused to eat anymore.,No
The service was extremely slow.,No
"After 20 minutes wait, I got a table.",No
Seriously killer hot chai latte.,Yes
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",No
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,Yes
Their rotating beers on tap is also a highlight of this place.,Yes
Pricing is a bit of a concern at Mellow Mushroom.,No
Worst Thai ever.,No
If you stay in Vegas you must get breakfast here at least once.,Yes
I want to first say our server was great and we had perfect service.,Yes
The pizza selections are good.,Yes
"I had strawberry tea, which was good.",Yes
Highly unprofessional and rude to a loyal patron!,No
"Overall, a great experience.",Yes
Spend your money elsewhere.,No
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,Yes
The Buffet at Bellagio was far from what I anticipated.,No
"And the drinks are WEAK, people!",No
#NAME?,No
"Also, I feel like the chips are bought, not made in house.",No
After the disappointing dinner we went elsewhere for dessert.,No
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,Yes
We won't be returning.,No
This is my new fav Vegas buffet spot.,Yes
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,No
"Very, very sad.",No
"i felt insulted and disrespected, how could you talk and judge another human being like that?",No
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",No
I'm not impressed with the concept or the food.,No
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,No
"There is really nothing for me at postinos, hope your experience is better",No
I got food poisoning here at the buffet.,No
They brought a fresh batch of fries and I was thinking yay something warm but no!,No
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",No
"Needless to say, I won't be going back anytime soon.",No
This place is disgusting!,No
"Every time I eat here, I see caring teamwork to a professional degree.",Yes
The RI style calamari was a joke.,No
"However, there was so much garlic in the fondue, it was barely edible.",No
"I could barely stomach the meal, but didn't complain because it was a business lunch.",No
"It was so bad, I had lost the heart to finish it.",No
It also took her forever to bring us the check when we asked for it.,No
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,No
Disappointing experience.,No
"The food is about on par with Denny's, which is to say, not good at all.",No
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",No
WAAAAAAyyyyyyyyyy over rated is all I am saying.,No
We won't be going back.,No
The place was fairly clean but the food simply wasn't worth it.,No
This place lacked style!!,No
"The sangria was about half of a glass wine full and was $12, ridiculous.",No
Don't bother coming here.,No
"The meat was pretty dry, I had the sliced brisket and pulled pork.",No
"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",No
It was equally awful.,No
Probably not in a hurry to go back.,No
very slow at seating even with reservation.,No
Not good by any stretch of the imagination.,No
The cashew cream sauce was bland and the vegetables were undercooked.,No
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",No
"It was a bit too sweet, not really spicy enough, and lacked flavor.",No
I was VERY disappointed!!,No
This place is horrible and way overpriced.,No
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",No
It wasn't busy at all and now we know why.,No
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,No
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",No
Con: spotty service.,No
"The fries were not hot, and neither was my burger.",No
But then they came back cold.,No
"Then our food came out, disappointment ensued.",No
The real disappointment was our waiter.,No
My husband said she was very rude... did not even apologize for the bad food or anything.,No
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,No
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",No
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,No
She was quite disappointed although some blame needs to be placed at her door.,No
After all the rave reviews I couldn't wait to eat here......what a disappointment!,No
Del Taco is pretty nasty and should be avoided if possible.,No
It's NOT hard to make a decent hamburger.,No
But I don't like it.,No
Hell no will I go back,No
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,No
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",No
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,No
The ambiance isn't much better.,No
"Unfortunately, it only set us up for disapppointment with our entrees.",No
The food wasn't good.,No
"Your servers suck, wait, correction, our server Heimer sucked.",No
What happened next was pretty....off putting.,No
"too bad cause I know it's family owned, I really wanted to like this place. ",No
Overpriced for what you are getting.,No
I vomited in the bathroom mid lunch.,No
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",No
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",No
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,No
Food was below average.,No
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,No
"All in all, Ha Long Bay was a bit of a flop.",No
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,No
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,No
"It lacked flavor, seemed undercooked, and dry.",No
It really is impressive that the place hasn't closed down.,No
I would avoid this place if you are staying in the Mirage.,No
The refried beans that came with my meal were dried out and crusty and the food was bland.,No
Spend your money and time some place else.,No
A lady at the table next to us found a live green caterpillar In her salad.,No
the presentation of the food was awful.,No
I can't tell you how disappointed I was.,No
I think food should have flavor and texture and both were lacking.,No
Appetite instantly gone.,No
Overall I was not impressed and would not go back.,No
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",No
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",No
The food was terrible.,No
I would not recommend this place.,No
The service was slow and rude.,No
The dishes were poorly cooked.,No
The staff was unfriendly and unhelpful.,No
The restaurant was dirty and unhygienic.,No
I got food poisoning from their food.,No
The prices were way too high for the quality.,No
The portion sizes were ridiculously small.,No
The ambiance was loud and uncomfortable.,No
The waiters were inattentive and forgetful.,No
The food tasted bland and flavorless.,No
The dessert was stale and tasteless.,No
The drinks were watered down.,No
The menu options were limited and uninspiring.,No
The restaurant was overcrowded and noisy.,No
The food arrived cold and undercooked.,No
The presentation of the dishes was unappealing.,No
The wait time for a table was excessively long.,No
The utensils and tableware were dirty.,No
The restaurant had a foul smell.,No
The management was disorganized and inefficient.,No
The wait staff seemed inexperienced and clueless.,No
The restaurant did not accommodate dietary restrictions.,No
The food was overpriced and not worth the money.,No
The restaurant had no vegetarian options.,No
The dishes were overly greasy and oily.,No
The seating was uncomfortable and cramped.,No
The restaurant had a poor selection of wines.,No
The food lacked freshness and tasted old.,No
The restaurant had poor lighting.,No
The servers were not knowledgeable about the menu.,No
The restaurant had no vegan options.,No
The waiters kept forgetting our orders.,No
The food was too salty and overly seasoned.,No
The restaurant had a long waiting list.,No
The staff was rude and disrespectful.,No
The dishes were poorly presented and sloppily plated.,No
The food was served cold and unappetizing.,No
The restaurant had dirty and unsanitary bathrooms.,No
The restaurant had poor air conditioning.,No
The wait staff was slow and inattentive.,No
The food tasted burnt and charred.,No
The restaurant had a limited selection of desserts.,No
The service was disorganized and chaotic.,No
The restaurant had a loud and obnoxious crowd.,No
The food lacked variety and creativity.,No
The waiters got our orders completely wrong.,No
The dishes were too spicy and overwhelming.,No
The restaurant had poor customer service.,No
The food was bland and uninspiring.,No
The restaurant had unclean tablecloths and utensils.,No
The servers were constantly chatting and ignoring customers.,No
The food was served in small portions.,No
The restaurant had a long wait time for food.,No
The staff was unprofessional and impolite.,No
The dishes were overcooked and dry.,No
The restaurant had a lack of vegetarian options.,No
The food had an odd and unpleasant taste.,No
The restaurant had dirty and sticky floors.,No
The waiters mixed up the bills and caused confusion.,No
The food took forever to arrive at our table.,No
The restaurant had uncomfortable and wobbly chairs.,No
The servers had poor knowledge of the menu ingredients.,No
The dishes were served with stale bread.,No
The food had a strange and off-putting smell.,No
The restaurant had slow and inefficient service.,No
The wait staff appeared uninterested and disengaged.,No
The restaurant had a lack of gluten-free options.,No
The food was tasteless and lacked seasoning.,No
The restaurant had dirty and sticky menus.,No
The staff seemed overwhelmed and understaffed.,No
The dishes were underwhelming and unappetizing.,No
The restaurant had a lack of healthy food options.,No
The food was undercooked and raw.,No
The restaurant had loud and disruptive patrons.,No
The waiters were pushy and constantly upselling.,No
The dishes had a weird and unpleasant texture.,No
The restaurant had poor organization and management.,No
The food was greasy and left me feeling sick.,No
The restaurant had limited parking space.,No
The staff had poor communication and did not listen to requests.,No
The dishes were served on chipped and dirty plates.,No
The food had a weird aftertaste.,No
The restaurant had a lack of allergy-friendly options.,No
The wait staff was inattentive and forgetful.,No
The restaurant had a lack of comfortable seating.,No
The servers were constantly rushing and making mistakes.,No
The food lacked quality and freshness.,No
"The restaurant had poor acoustics, making it noisy.",No
The restaurant had slow and unresponsive customer support.,No
The dishes were served lukewarm and not hot.,No
The food had a strange and unpleasant appearance.,No
The restaurant had unclean and sticky tables.,No
The staff lacked professionalism and manners.,No
The portions were meager and unsatisfying.,No
The restaurant had slow service and long wait times.,No
The waiters were disorganized and confused.,No
The food had an odd combination of flavors.,No
The restaurant had limited seating options.,No
The servers were constantly making mistakes with orders.,No
The dishes were served with expired condiments.,No
The food had a weird and unappetizing color.,No
The restaurant had poor hygiene and cleanliness.,No
The staff was unresponsive to customer complaints.,No
The dishes were overpriced for their quality.,No
The food was tasteless and bland.,No
The service was incredibly slow.,No
The restaurant was dirty and unclean.,No
The dishes were cold and unappetizing.,No
The staff was rude and unhelpful.,No
The prices were exorbitant for the quality.,No
The portion sizes were ridiculously small.,No
The ambiance was unpleasant and noisy.,No
The waiters kept forgetting our orders.,No
The food had a strange and unpleasant odor.,No
The dessert was stale and dry.,No
The drinks were watered down and tasteless.,No
The menu options were limited and unexciting.,No
The restaurant had a long wait time for a table.,No
The utensils and tableware were dirty.,No
The restaurant had a foul smell.,No
The management was disorganized and unprofessional.,No
The wait staff seemed inexperienced and clueless.,No
The restaurant did not cater to dietary restrictions.,No
The food was overpriced for the quality.,No
The restaurant had no vegetarian options.,No
The dishes were greasy and overly oily.,No
The seating was uncomfortable and cramped.,No
The restaurant had a poor selection of wines.,No
The food lacked freshness and tasted old.,No
The restaurant had dim and inadequate lighting.,No
The servers were not knowledgeable about the menu.,No
The restaurant had no vegan options.,No
The waiters were inattentive and neglectful.,No
The food was overly salty and inedible.,No
The restaurant had a long waiting list.,No
The staff was unprofessional and impolite.,No
The dishes were poorly presented and unappetizing.,No
The food was served cold and unpalatable.,No
The restaurant had dirty and unsanitary bathrooms.,No
The restaurant had poor air conditioning.,No
The wait staff was slow and inattentive.,No
The food tasted burnt and charred.,No
The restaurant had a limited selection of desserts.,No
The service was disorganized and chaotic.,No
The restaurant had a loud and disruptive atmosphere.,No
The food lacked variety and imagination.,No
The waiters consistently got our orders wrong.,No
The dishes were overly spicy and unbearable.,No
The restaurant had poor customer service.,No
The food was bland and uninspired.,No
The restaurant had dirty and sticky menus.,No
The staff seemed overwhelmed and understaffed.,No
The dishes were unappetizing and disappointing.,No
The restaurant had a lack of healthy options.,No
The food was undercooked and raw.,No
The restaurant had a noisy and boisterous crowd.,No
The waiters were pushy and constantly upselling.,No
The dishes had an unpleasant and strange texture.,No
The restaurant had poor organization and management.,No
The food was greasy and left me feeling sick.,No
The restaurant had limited parking space.,No
The staff had poor communication and ignored requests.,No
The dishes were served on chipped and dirty plates.,No
The food had an odd and unpleasant aftertaste.,No
The restaurant had a lack of allergy-friendly options.,No
The wait staff was inattentive and forgetful.,No
The restaurant had uncomfortable and worn-out seating.,No
The servers were constantly rushing and making mistakes.,No
The food lacked quality and freshness.,No
"The restaurant had poor acoustics, making it noisy.",No
The restaurant had slow and unresponsive customer support.,No
The dishes were served lukewarm and not piping hot.,No
The food had a strange and unappetizing appearance.,No
The restaurant had unclean and sticky tables.,No
The staff lacked professionalism and manners.,No
The portions were tiny and unsatisfying.,No
The restaurant had slow service and long wait times.,No
The waiters were disorganized and confused.,No
The food had an odd combination of flavors.,No
The restaurant had limited seating options.,No
The servers were constantly making mistakes with orders.,No
The dishes were served with expired condiments.,No
The food had a weird and unappetizing color.,No
The restaurant had poor hygiene and cleanliness.,No
The staff was unresponsive to customer complaints.,No
The dishes were overpriced for their quality.,No
The food was underseasoned and lacked taste.,No
The service was slow and inattentive.,No
The restaurant had dirty and sticky floors.,No
The wait staff appeared uninterested and inattentive.,No
The restaurant did not offer vegetarian options.,No
The food was poorly cooked and overdone.,No
The restaurant had a lack of gluten-free choices.,No
The dishes had a weird and unpleasant consistency.,No
The restaurant had poor organization and management.,No
The food was greasy and heavy.,No
The restaurant had limited seating capacity.,No
The staff was unhelpful and unaccommodating.,No
The portions were inadequate and unsatisfying.,No
The restaurant had slow service and unresponsive staff.,No
The waiters seemed disorganized and forgetful.,No
The food had an odd and off-putting aftertaste.,No
The restaurant had uncomfortable and wobbly chairs.,No
The servers had poor knowledge of the menu ingredients.,No
The dishes were served with stale bread.,No
The food had a weird and unpleasant smell.,No
The restaurant had slow and inefficient service.,No
The wait staff appeared disengaged and unenthusiastic.,No
The restaurant had a lack of vegetarian-friendly options.,No
The food was flavorless and lacked seasoning.,No
The restaurant had dirty and sticky menus.,No
The staff seemed overwhelmed and understaffed.,No
The portions were skimpy and unsatisfactory.,No
The restaurant had slow service and long wait times.,No
The waiters were disorganized and confused.,No
The food had an odd and unappetizing combination of flavors.,No
The restaurant had limited seating options.,No
The servers were constantly making mistakes with orders.,No
The dishes were served with expired condiments.,No
The food had an unusual and unappealing color.,No
The restaurant had poor hygiene and cleanliness.,No
